"jpeg_img","colour_1","colour_2","colour_3","colour_1_count","colour_2_count","colour_3_count"
"pokemon_icon_000.jpeg","#FFFFFE","#9DC686","#5C9062",54153,6478,4905
"pokemon_icon_001_00.jpeg","#FFFFFF","#86DCA4","#539468",61023,2372,2141
"pokemon_icon_001_00_11.jpeg","#FFFFFF","#85D8A3","#5D8760",61075,2356,2105
"pokemon_icon_001_00_11_shiny.jpeg","#FFFFFF","#8FCD8A","#688453",61082,2485,1969
"pokemon_icon_001_00_14.jpeg","#FFFFFF","#69BA87","#D89F2B",60838,4298,400
"pokemon_icon_001_00_14_shiny.jpeg","#FFFFFF","#63975F","#A3D683",60754,2714,2068
"pokemon_icon_001_00_shiny.jpeg","#FFFFFF","#659B62","#9BD992",60992,2757,1787
"pokemon_icon_002_00.jpeg","#FEFFFF","#58B1AA","#D86B7C",54328,7863,3345
"pokemon_icon_002_00_shiny.jpeg","#FFFFFF","#699959","#C9D47B",54111,6034,5391
"pokemon_icon_003_00.jpeg","#FEFEFE","#59BCA9","#D2746B",47418,13695,4423
"pokemon_icon_003_00_shiny.jpeg","#FFFFFE","#7BA962","#D3DE85",46766,13122,5648
"pokemon_icon_003_01.jpeg","#FEFEFE","#59BCA9","#D3786C",47242,13698,4596
"pokemon_icon_003_01_shiny.jpeg","#FFFFFE","#7BA962","#D5DE84",46600,13157,5779
"pokemon_icon_003_51.jpeg","#FEFEFE","#6A9795","#E9AAB6",42743,17700,5093
"pokemon_icon_003_51_shiny.jpeg","#FEFFFE","#B6DF7E","#6E9961",42625,12204,10707
"pokemon_icon_004_00.jpeg","#FFFFFF","#C9743C","#EFB874",62016,1826,1694
"pokemon_icon_004_00_11.jpeg","#FFFFFF","#EFB771","#CA7139",61749,1898,1889
"pokemon_icon_004_00_11_shiny.jpeg","#FFFFFF","#E3C76B","#BE7B2F",61722,2433,1381
"pokemon_icon_004_00_14.jpeg","#FFFFFF","#EEBA5C","#C06F36",61598,2200,1738
"pokemon_icon_004_00_14_shiny.jpeg","#FFFFFF","#E2C557","#A8742C",61622,2880,1034
"pokemon_icon_004_00_shiny.jpeg","#FFFFFF","#E3C96C","#BB8333",61997,2227,1312
"pokemon_icon_005_00.jpeg","#FFFFFF","#D96E4E","#F0A790",57502,4265,3769
"pokemon_icon_005_00_shiny.jpeg","#FFFFFF","#EDC985","#D28B44",57357,4626,3553
"pokemon_icon_006_00.jpeg","#FFFEFD","#E49C50","#186C76",52631,11700,1205
"pokemon_icon_006_00_shiny.jpeg","#FFFFFE","#5D524C","#E1BD78",52127,10393,3016
"pokemon_icon_006_51.jpeg","#FEFEFE","#446176","#78CCDE",47074,12284,6178
"pokemon_icon_006_51_shiny.jpeg","#F9FDFD","#4D8F7B","#87252A",49641,9664,6231
"pokemon_icon_006_52.jpeg","#FEFEFD","#D59F55","#328085",48659,11766,5111
"pokemon_icon_006_52_shiny.jpeg","#FEFEFE","#93857D","#900C3A",48672,11574,5290
"pokemon_icon_007_00.jpeg","#FFFFFF","#69CAE9","#BCA783",61929,2402,1205
"pokemon_icon_007_00_05.jpeg","#FFFFFE","#80C6D5","#555047",62152,2927,457
"pokemon_icon_007_00_05_shiny.jpeg","#FFFFFF","#A2C7C7","#494E46",62008,3099,429
"pokemon_icon_007_00_11.jpeg","#FFFFFF","#69C8E8","#C19575",61779,2361,1396
