"shiny_file","id","variation","shiny_jpeg","shiny_primary_colour","shiny_second_colour","shiny_primary_colour_count","shiny_second_colour_count","shiny_primary_red","shiny_primary_green","shiny_primary_blue","shiny_second_red","shiny_second_green","shiny_second_blue","non_shiny_file","non_shiny_jpeg","non_shiny_primary_colour","non_shiny_second_colour","non_shiny_primary_colour_count","non_shiny_second_colour_count","non_shiny_primary_red","non_shiny_primary_green","non_shiny_primary_blue","non_shiny_second_red","non_shiny_second_green","non_shiny_second_blue","distance_primary","distance_second","primary_col_count","secondary_col_count","primary_col_pc","secondary_col_pc","distance_overall"
"pokemon_icon_001_00_11_shiny.png","001","_00_11","pokemon_icon_001_00_11_shiny.jpeg","#8FCD8A","#688453",2485,1969,143,205,138,104,132,83,"pokemon_icon_001_00_11.png","pokemon_icon_001_00_11.jpeg","#85D8A3","#5D8760",2356,2105,133,216,163,93,135,96,29.086079144498,17.2916164657906,4841,4074,0.54301738642737,0.45698261357263,22.6814808463911
"pokemon_icon_001_00_14_shiny.png","001","_00_14","pokemon_icon_001_00_14_shiny.jpeg","#63975F","#A3D683",2714,2068,99,151,95,163,214,131,"pokemon_icon_001_00_14.png","pokemon_icon_001_00_14.jpeg","#69BA87","#D89F2B",4298,400,105,186,135,216,159,43,53.4883164812653,116.524675498368,7012,2468,0.739662447257384,0.260337552742616,100.113944058051
"pokemon_icon_001_00_shiny.png","001","_00","pokemon_icon_001_00_shiny.jpeg","#659B62","#9BD992",2757,1787,101,155,98,155,217,146,"pokemon_icon_001_00.png","pokemon_icon_001_00.jpeg","#86DCA4","#539468",2372,2141,134,220,164,83,148,104,98.3361581515162,108.208132781229,5129,3928,0.566302307607376,0.433697692392625,103.926680164964
"pokemon_icon_002_00_shiny.png","002","_00","pokemon_icon_002_00_shiny.jpeg","#699959","#C9D47B",6034,5391,105,153,89,201,212,123,"pokemon_icon_002_00.png","pokemon_icon_002_00.jpeg","#58B1AA","#D86B7C",7863,3345,88,177,170,216,107,124,86.1742420912421,106.070731118438,13897,8736,0.614014933946008,0.385985066053992,98.3909834870333
"pokemon_icon_003_00_shiny.png","003","_00","pokemon_icon_003_00_shiny.jpeg","#7BA962","#D3DE85",13122,5648,123,169,98,211,222,133,"pokemon_icon_003_00.png","pokemon_icon_003_00.jpeg","#59BCA9","#D2746B",13695,4423,89,188,169,210,116,107,80.9814793641114,109.146690284223,26817,10071,0.726984385165908,0.273015614834092,101.457147907937
"pokemon_icon_003_01_shiny.png","003","_01","pokemon_icon_003_01_shiny.jpeg","#7BA962","#D5DE84",13157,5779,123,169,98,213,222,132,"pokemon_icon_003_01.png","pokemon_icon_003_01.jpeg","#59BCA9","#D3786C",13698,4596,89,188,169,211,120,108,80.9814793641114,104.804580052591,26855,10375,0.721326886919151,0.278673113080849,98.165722420494
"pokemon_icon_003_51_shiny.png","003","_51","pokemon_icon_003_51_shiny.jpeg","#B6DF7E","#6E9961",12204,10707,182,223,126,110,153,97,"pokemon_icon_003_51.png","pokemon_icon_003_51.jpeg","#6A9795","#E9AAB6",17700,5093,106,151,149,233,170,182,107.186752912848,150.475911693533,29904,15800,0.654297216873797,0.345702783126203,135.510729023858
"pokemon_icon_004_00_11_shiny.png","004","_00_11","pokemon_icon_004_00_11_shiny.jpeg","#E3C76B","#BE7B2F",2433,1381,227,199,107,190,123,47,"pokemon_icon_004_00_11.png","pokemon_icon_004_00_11.jpeg","#EFB771","#CA7139",1898,1889,239,183,113,202,113,57,20.8806130178211,18.5472369909914,4331,3270,0.569793448230496,0.430206551769504,19.5510706454754
"pokemon_icon_004_00_14_shiny.png","004","_00_14","pokemon_icon_004_00_14_shiny.jpeg","#E2C557","#A8742C",2880,1034,226,197,87,168,116,44,"pokemon_icon_004_00_14.png","pokemon_icon_004_00_14.jpeg","#EEBA5C","#C06F36",2200,1738,238,186,92,192,111,54,17.0293863659264,26.4764045897475,5080,2772,0.64696892511462,0.35303107488538,23.1413135917301
"pokemon_icon_004_00_shiny.png","004","_00","pokemon_icon_004_00_shiny.jpeg","#E3C96C","#BB8333",2227,1312,227,201,108,187,131,51,"pokemon_icon_004_00.png","pokemon_icon_004_00.jpeg","#C9743C","#EFB874",1826,1694,201,116,60,239,184,116,101.019800039398,98.6813052203912,4053,3006,0.57416064598385,0.42583935401615,99.6771283434872
