"png","jpeg"
"pokemon_icon_000.png","pokemon_icon_000.jpeg"
"pokemon_icon_001_00.png","pokemon_icon_001_00.jpeg"
"pokemon_icon_001_00_11.png","pokemon_icon_001_00_11.jpeg"
"pokemon_icon_001_00_11_shiny.png","pokemon_icon_001_00_11_shiny.jpeg"
"pokemon_icon_001_00_14.png","pokemon_icon_001_00_14.jpeg"
"pokemon_icon_001_00_14_shiny.png","pokemon_icon_001_00_14_shiny.jpeg"
"pokemon_icon_001_00_shiny.png","pokemon_icon_001_00_shiny.jpeg"
"pokemon_icon_002_00.png","pokemon_icon_002_00.jpeg"
"pokemon_icon_002_00_shiny.png","pokemon_icon_002_00_shiny.jpeg"
"pokemon_icon_003_00.png","pokemon_icon_003_00.jpeg"
"pokemon_icon_003_00_shiny.png","pokemon_icon_003_00_shiny.jpeg"
"pokemon_icon_003_01.png","pokemon_icon_003_01.jpeg"
"pokemon_icon_003_01_shiny.png","pokemon_icon_003_01_shiny.jpeg"
"pokemon_icon_003_51.png","pokemon_icon_003_51.jpeg"
"pokemon_icon_003_51_shiny.png","pokemon_icon_003_51_shiny.jpeg"
"pokemon_icon_004_00.png","pokemon_icon_004_00.jpeg"
"pokemon_icon_004_00_11.png","pokemon_icon_004_00_11.jpeg"
"pokemon_icon_004_00_11_shiny.png","pokemon_icon_004_00_11_shiny.jpeg"
"pokemon_icon_004_00_14.png","pokemon_icon_004_00_14.jpeg"
"pokemon_icon_004_00_14_shiny.png","pokemon_icon_004_00_14_shiny.jpeg"
"pokemon_icon_004_00_shiny.png","pokemon_icon_004_00_shiny.jpeg"
"pokemon_icon_005_00.png","pokemon_icon_005_00.jpeg"
"pokemon_icon_005_00_shiny.png","pokemon_icon_005_00_shiny.jpeg"
"pokemon_icon_006_00.png","pokemon_icon_006_00.jpeg"
"pokemon_icon_006_00_shiny.png","pokemon_icon_006_00_shiny.jpeg"
"pokemon_icon_006_51.png","pokemon_icon_006_51.jpeg"
"pokemon_icon_006_51_shiny.png","pokemon_icon_006_51_shiny.jpeg"
